ACACA	ACC1
ACACA	ACC_pS79
ACACB	ACC1
ACACB	ACC_pS79
ACACB	ACC_pS79_-R-V_GBL9028255
ACVRL1	ACVRL1
AKT1	AKT
AKT1	AKT_pS473
AKT1	AKT_pT308
AKT1S1	PRAS40_pT246
AKT1S1	PRAS40_pT246_-R-V_GBL9028329
AKT2	AKT
AKT2	AKT_pS473
AKT2	AKT_pT308
AKT3	AKT
AKT3	AKT_pS473
AKT3	Akt_pS473_-R-V_GBL9028258
AKT3	AKT_pT308
AKT3	Akt_pT308_-R-V_GBL9028259
ANXA1	Annexin-I
ANXA7	Annexin-VII
AR	AR
BAD	BAD_pS112
BAD	Bad_pS112_-R-V_GBL9028262
BAK1	BAK
BAX	BAX
BCL2	BCL-2
BCL2L11	BIM
BCL2L1	Bcl-X
BCL2L1	Bcl-xL
BECN1	Beclin
BID	BID
BIRC2	cIAP
BRAF	B-Raf
C12orf5	TIGAR
CASP3	Caspase-3_active
CASP7	Caspase-7_cleavedD198
CASP9	Caspase-9_cleavedD330
CAV1	Caveolin-1
CCNB1	Cyclin-B1
CCND1	Cyclin-D1
CCNE1	Cyclin-E1
CDH1	E-Cadherin
CDH2	N-Cadherin
CDH3	P-Cadherin
CDK1	CDK1
CDKN1A	p21
CDKN1B	p27
CDKN1B	p27_pT157
CDKN1B	p27_pT157_-R-C_GBL9028340
CDKN1B	p27_pT198
CDKN1B	p27_pT198_-R-V_GBL9028342
CHEK1	CHK1
CHEK1	CHK1_pS345
CHEK1	Chk1_pS345_-R-E_GBL9028346
CHEK2	CHK2
CHEK2	CHK2_pT68
CHEK2	Chk2_pT68_-R-C_GBL9028274
CLDN7	Claudin-7
COL6A1	Collagen-VI
CTNNA1	alpha-catenin
CTNNB1	beta-catenin
DIABLO	Smac
DVL3	Dvl3
EEF2	eEF2
EEF2K	eEF2K
EGFR	EGFR
EGFR	EGFR_pY1068
EGFR	EGFR_pY1068_-R-C_GBL9028281
EGFR	EGFR_pY1173
EGFR	EGFR_pY1173_-R-V_GBL9028282
EGFR	EGFR_pY992
EIF4EBP1	4EBP1
EIF4EBP1	4EBP1_pS65
EIF4EBP1	4E-BP1_pS65_-R-V_GBL9028254
EIF4EBP1	4EBP1_pT37_pT46
EIF4EBP1	4E-BP1_pT37_T46_-R-V_GBL9028407
EIF4E	eIF4E
EIF4G1	eIF4G
ERBB2	HER2
ERBB2	HER2_pY1248
ERBB2	HER2_pY1248_-R-C_GBL9028437
ERBB3	HER3
ERBB3	HER3_pY1298
ERBB3	HER3_pY1298_-R-C_GBL9028328
ERCC1	ERCC1
ERRFI1	MIG-6
ESR1	ER-alpha
ESR1	ER-alpha_pS118
ESR1	ER-alpha_pS118_-R-V_GBL9028284
FN1	Fibronectin
FOXM1	FoxM1
FOXO3	FOXO3a
FOXO3	FOXO3a_pS318_S321
GAB2	Gab2
GATA3	GATA3
GSK3A	GSK3-alpha-beta
GSK3A	GSK3-alpha-beta_pS21_S9
GSK3A	GSK3-alpha-beta_pS9
GSK3B	GSK3-alpha-beta
GSK3B	GSK3-alpha-beta_pS21_S9
GSK3B	GSK3-alpha-beta_pS21_S9_-R-V_GBL9028288
GSK3B	GSK3-alpha-beta_pS9
GSK3B	GSK3_pS9_-R-V_GBL9028362
HUGO	ANTIBODY
IGF1R	IFG-1R-beta
IGFBP2	IGFBP2
INPP4B	INPP4B
IRS1	IRS1
ITGA2	CD49B
JUN	c-JUN_pS73
KDR	VEGFR2
KIT	c-KIT
KRAS	k-Ras
LCK	Lck
MAP2K1	MEK1
MAP2K1	MEK1_pS217_S221
MAP2K1	MEK1_pS217_S221_-R-V_GBL9028360
MAPK14	p38_MAPK
MAPK14	p38_pT180_Y182
MAPK14	p38_pT180_Y182_-R-V_GBL9028301
MAPK1	MAPK_pT202_Y204
MAPK3	MAPK_pT202_Y204
MAPK3	MAPK_pT202_Y204_-R-V_GBL9028293
MAPK8	JNK_pT183_pT185
MAPK8	JNK_pT183_pT185_-R-V_GBL9028343
MAPK9	JNK2
MAPT	Tau
MET	c-Met
MET	c-Met_pY1235
MET	c-Met_pY1235_-R-V_GBL9028327
MGMT	MGMT
MRE11A	Mre11
MSH2	MSH2
MSH6	MSH6
MTOR	mTOR
